TF,strain,date,restriction,mechanism,time,GeneName,green_median,red_median,log2_ratio,log2_cleaned_ratio,log2_noise_model,log2_cleaned_ratio_zth2d,log2_selected_timecourses,log2_shrunken_timecourses
ACE2,SMY64,12/16/2015,P,GEV,0.0,NRM1,749.37975,786.9933,0.0,0.0,0.130877122453,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,5.0,NRM1,921.52875,928.46685,-0.0588248522648,0.0097884241381,0.123098538127,0.0097884241381,0.0097884241381,0.0
ACE2,SMY64,12/16/2015,P,GEV,10.0,NRM1,931.5319,945.77485,-0.0470444184843,-0.0287452411368,0.122451723306,-0.0287452411368,-0.0287452411368,-0.00010645164742064028
ACE2,SMY64,12/16/2015,P,GEV,15.0,NRM1,803.66475,853.3236,0.0233451998901,0.0341305324078,0.12359490991,0.0341305324078,0.0341305324078,0.0
ACE2,SMY64,12/16/2015,P,GEV,20.0,NRM1,817.2203,678.42985,-0.339706996185,-0.303412274014,0.12380868571,-0.303412274014,-0.303412274013,-0.2816236997600842
ACE2,SMY64,12/16/2015,P,GEV,30.0,NRM1,841.6614,555.28335,-0.672967262436,-0.70985921697,0.132018891141,-0.70985921697,-0.70985921697,-0.7098589469111726
ACE2,SMY64,12/16/2015,P,GEV,45.0,NRM1,910.68755,569.32395,-0.748640362015,-0.760541386418,0.135432444568,-0.760541386418,-0.760541386418,-0.760541368941299
ACE2,SMY64,12/16/2015,P,GEV,90.0,NRM1,929.0282,624.0513,-0.645216530929,-0.821564063774,0.141643284915,-0.821564063774,-0.821564063773,-0.8215640593460793
ACE2,SMY64,12/16/2015,P,GEV,0.0,PLM2,226.48865,219.98935,0.0,0.0,0.14923602336,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,5.0,PLM2,237.20685,242.80355,0.0680813926025,0.0143276433198,0.139422826902,0.0143276433198,0.0143276433198,0.0
ACE2,SMY64,12/16/2015,P,GEV,10.0,PLM2,231.45495,211.17665,-0.0961052095315,-0.0121374490368,0.138852076372,-0.0121374490368,-0.0121374490368,-4.4948359949477834e-05
ACE2,SMY64,12/16/2015,P,GEV,15.0,PLM2,242.9495,198.3999,-0.253411586264,-0.111027504829,0.139861275298,-0.111027504829,-0.111027504829,-0.003141369682139
