Genes,peak_time,Distance
MEF2,55.0,3.7754215236398756
DOT1,27.0,3.7757299143579663
YEL077C,17.0,3.7763418118394143
MDG1,5.0,3.777698673282291
CST26,29.0,3.7817725881089976
ASK1,49.0,3.7865850101599468
YCR023C,35.0,3.787843636962681
CSE4,43.0,3.7885395663660724
EMP70,46.0,3.7886817221830955
UBP16,49.0,3.7902716110983197
PMT2,36.0,3.7903680809162212
FYV6,3.0,3.790382901603197
COQ8,59.0,3.791633072977138
BBP1,31.0,3.792195552813566
PSF3,26.0,3.7929180896019767
COX18,10.0,3.79365848872633
BUB3,32.0,3.793721791928625
HMRA1,70.0,3.793798413584455
SPE3,25.0,3.7945650492184844
RAP1,44.0,3.794790315865451
TIR3,55.0,3.79575540522605
HEM12,32.0,3.7961787108015552
IRC8,57.0,3.7985956160609304
TPM1,3.0,3.799136167827889
MIP1,47.0,3.7995441894447466
SHE3,52.0,3.8008794652949476
IMP1,0.0,3.801027215220988
BUR6,72.0,3.8018622830511384
ECM10,50.0,3.8035387510144716
FKH2,49.0,3.804791942796461
YFL059W,28.0,3.8078503947994746
IRC15,28.0,3.8080182429385667
YNL144C,65.0,3.808113415316514
CAJ1,5.0,3.808393526287221
ERS1,39.0,3.808451917053689
ECO1,21.0,3.8087571515838654
HCH1,22.0,3.808942888898862
COY1,71.0,3.8101964238305035
GPI16,21.0,3.810988710886669
BEM3,23.0,3.8123708034343617
WHI3,43.0,3.8154007079015426
KIP3,45.0,3.8156125851033416
ESC2,59.0,3.8156515819705636
SPP382,43.0,3.8161744134076723
GAS3,44.0,3.81728293936789
BET1,42.0,3.817389637244687
MSL1,23.0,3.8184279260142495
YAR029W,42.0,3.819615907471754
MET8,13.0,3.819947485674186
RSM28,1.0,3.820692015700474
ISU2,50.0,3.82102774345757
ABF1,39.0,3.8212168252450294
ERP3,23.0,3.821750705240403
YNK1,28.0,3.8218503407562014
GPI13,45.0,3.8222708217001458
SEN15,12.0,3.8224609073349165
FIR1,47.0,3.8235393079827222
BFR1,13.0,3.824385003932048
GAA1,36.0,3.8252030942123354
URN1,58.0,3.825609022743584
ACF4,58.0,3.8287983930828626
IPL1,32.0,3.8301431552825713
SLX4,31.0,3.831946891339133
AVT1,39.0,3.8342712368727634
CWC27,1.0,3.8354258500253136
BDP1,28.0,3.8357915383525363
SAS3,49.0,3.836581344953803
ERP2,32.0,3.8375381121196352
UBX7,4.0,3.837992444571665
YNL058C,65.0,3.8382795176183007
RPN8,6.0,3.839172533854663
RAS1,53.0,3.8406354845946598
SEC8,49.0,3.841402530579751
DUO1,35.0,3.8421239393503384
PIL1,6.0,3.8451038497876837
MRH1,64.0,3.8453004116755807
YDL009C,24.0,3.845813780152656
DIF1,49.0,3.8468998913444623
FCJ1,71.0,3.848442288588204
FAS1,6.0,3.8487355684706053
YLL032C,51.0,3.8494413321471446
AIM9,3.0,3.8505605872453152
MMS4,24.0,3.851709070377223
SYC1,56.0,3.851739785180949
CRP1,51.0,3.8521446970353135
MCX1,2.0,3.853661077704798
RSR1,26.0,3.8543471282167197
FKH1,47.0,3.854705961437526
HUA2,25.0,3.856498578784837
YLR297W,73.0,3.859089848035762
PAR32,8.0,3.860602139841615
MFT1,1.0,3.8612093376189844
GWT1,30.0,3.8615642169140028
YPL071C,1.0,3.861970430722436
CWC24,67.0,3.8647303851101777
MTC4,71.0,3.8647641503820758
YAR068W,30.0,3.8649722576356647
MDM20,46.0,3.8657736169332684
SRM1,46.0,3.867246575170422
TOF2,44.0,3.8682032543382308
RPN6,8.0,3.8683530638539576
YOR390W,49.0,3.869302742280183
PUP2,4.0,3.870104308486297
PDR16,26.0,3.8702892403926463
YNL190W,56.0,3.8707587537544974
PTC7,43.0,3.8725748846976202
CLB4,45.0,3.872641251355708
YPR114W,52.0,3.8746178831573728
HHF1,38.0,3.876745736239965
SEC72,12.0,3.8769739423642275
FUN26,70.0,3.8775949000464776
CDC7,26.0,3.878855440299522
UBC1,0.0,3.8813447357822737
YOL159C-A,22.0,3.8858785547080634
YCR043C,48.0,3.886869177599809
FRK1,56.0,3.8868889520715633
PSD1,18.0,3.8876914167640426
ALK2,37.0,3.889217251241379
RPN11,4.0,3.8910949491543003
JHD1,65.0,3.891631161668676
APN1,17.0,3.8919866611132496
POC4,50.0,3.8937843436987083
CHA1,42.0,3.8941000662811165
SMC1,24.0,3.8946313052571435
TRS20,46.0,3.8948563410440245
RFA3,31.0,3.8961342051181225
SKY1,48.0,3.8970467743079973
HTB1,38.0,3.8971661072203205
MCM6,8.0,3.8983503264277917
CNM67,26.0,3.8991943936285565
CAB5,3.0,3.9001860994466235
WHI5,42.0,3.9011571270632674
ATG26,65.0,3.9015764340722034
EKI1,53.0,3.903948186457817
MYO1,59.0,3.904086238678869
PRP4,67.0,3.9053636222621697
TBS1,57.0,3.9060052106909993
YPK3,44.0,3.9060628734479024
YCG1,46.0,3.9063288949635315
YML119W,64.0,3.9064048729694756
RAV2,73.0,3.9069519994230837
MVB12,4.0,3.907594027386862
MHT1,46.0,3.908562843486521
NHX1,67.0,3.9088174895543073
STH1,50.0,3.9114816359587596
HIR2,31.0,3.9116194964566278
SCS2,48.0,3.912875818408766
VMA3,56.0,3.9130082275270244
POP6,69.0,3.916642722548946
RPN5,0.0,3.916799485922578
TDA6,67.0,3.9177622819177036
SGT2,21.0,3.919474165902989
PCL1,29.0,3.919538375505861
GRX3,20.0,3.919673798072964
AAC3,41.0,3.9220309501641735
YDL245C,41.0,3.922844737480615
CHL1,29.0,3.922969137504912
PPS1,26.0,3.9232428969999056
HHT1 /// HHT2,37.0,3.923494974846524
MUS81,41.0,3.924340047647829
MSW1,56.0,3.924761556456413
AZR1,39.0,3.9260096407515648
CHL4,46.0,3.9263081920063776
TRX3,8.0,3.927328104882614
