,start,end,path,graph,time
343,FKH1,CLB5,,grn,
344,FKH1,CLB6,"['FKH1', 'MBP1', 'CLB6']",grn,7.795672633505959
345,FKH1,CLN1,"['FKH1', 'MBP1', 'CLN1']",grn,
346,FKH1,CLN2,,grn,
347,FKH1,CLN3,,grn,
348,FKH1,FKH1,"['FKH1', 'FKH1']",grn,0.8241447682452022
349,FKH1,FKH2,,grn,
350,FKH1,HCM1,,grn,
351,FKH1,MBP1,"['FKH1', 'MBP1']",grn,0.633517073803923
352,FKH1,MCM1,,grn,
353,FKH1,NDD1,,grn,
354,FKH1,NRM1,,grn,
355,FKH1,PLM2,"['FKH1', 'MBP1', 'PLM2']",grn,
356,FKH1,STB1,,grn,
357,FKH1,SWI4,,grn,
358,FKH1,SWI5,,grn,
359,FKH1,SWI6,,grn,
360,FKH1,TOS4,"['FKH1', 'YHP1', 'YOX1', 'TOS4']",grn,41.91607953503113
361,FKH1,WHI5,,grn,
362,FKH1,YHP1,"['FKH1', 'YHP1']",grn,16.80586639188765
363,FKH1,YOX1,"['FKH1', 'YHP1', 'YOX1']",grn,26.760474751728985
364,FKH2,ACE2,,grn,
365,FKH2,CDC20,,grn,
366,FKH2,CDH1,,grn,
367,FKH2,CLB1,"['FKH2', 'FKH2', 'CLB1']",grn,4.76331531242422
368,FKH2,CLB2,,grn,
369,FKH2,CLB3,,grn,
370,FKH2,CLB4,"['FKH2', 'MBP1', 'CLB4']",grn,20.611530469411914
371,FKH2,CLB5,,grn,
372,FKH2,CLB6,"['FKH2', 'MBP1', 'CLB6']",grn,19.888104263905554
373,FKH2,CLN1,"['FKH2', 'MBP1', 'CLN1']",grn,
374,FKH2,CLN2,,grn,
375,FKH2,CLN3,"['FKH2', 'FKH2', 'CLN3']",grn,9.745017379888724
376,FKH2,FKH1,,grn,
377,FKH2,FKH2,"['FKH2', 'FKH2']",grn,4.763315305552352
378,FKH2,HCM1,,grn,
379,FKH2,MBP1,"['FKH2', 'MBP1']",grn,12.725948704203518
380,FKH2,MCM1,,grn,
381,FKH2,NDD1,"['FKH2', 'NDD1']",grn,10.673076677706767
382,FKH2,NRM1,,grn,
383,FKH2,PLM2,"['FKH2', 'MBP1', 'PLM2']",grn,
384,FKH2,STB1,,grn,
385,FKH2,SWI4,,grn,
386,FKH2,SWI5,,grn,
387,FKH2,SWI6,,grn,
388,FKH2,TOS4,"['FKH2', 'TOS4']",grn,15.161030067436517
389,FKH2,WHI5,,grn,
390,FKH2,YHP1,,grn,
391,FKH2,YOX1,,grn,
392,HCM1,ACE2,,grn,
393,HCM1,CDC20,"['HCM1', 'YHP1', 'CDC20']",grn,18.323434525918522
394,HCM1,CDH1,"['HCM1', 'NRM1', 'CDH1']",grn,22.434998812508084
395,HCM1,CLB1,"['HCM1', 'YHP1', 'CLB1']",grn,27.926654914173355
396,HCM1,CLB2,"['HCM1', 'YHP1', 'YOX1', 'CLB2']",grn,23.670433583326822
397,HCM1,CLB3,"['HCM1', 'NRM1', 'CLB3']",grn,27.07580253597311
398,HCM1,CLB4,"['HCM1', 'MBP1', 'CLB4']",grn,22.82204172826415
399,HCM1,CLB5,"['HCM1', 'SWI6', 'CLB5']",grn,27.834662239986606
400,HCM1,CLB6,"['HCM1', 'SWI6', 'CLB6']",grn,26.69781816246098
401,HCM1,CLN1,"['HCM1', 'SWI6', 'CLN1']",grn,27.69357420780695
402,HCM1,CLN2,"['HCM1', 'SWI6', 'CLN2']",grn,25.913899028954035
403,HCM1,CLN3,"['HCM1', 'HCM1', 'FKH2', 'CLN3']",grn,21.787397392314833
404,HCM1,FKH1,"['HCM1', 'HCM1', 'FKH1']",grn,16.86872264060415
405,HCM1,FKH2,"['HCM1', 'HCM1', 'FKH2']",grn,16.80569531797846
406,HCM1,HCM1,"['HCM1', 'HCM1']",grn,2.4158890357953413
407,HCM1,MBP1,"['HCM1', 'MBP1']",grn,14.936459963055755
408,HCM1,MCM1,,grn,
409,HCM1,NDD1,"['HCM1', 'NDD1']",grn,13.097450628994125
410,HCM1,NRM1,"['HCM1', 'NRM1']",grn,12.062666366490285
411,HCM1,PLM2,"['HCM1', 'MBP1', 'PLM2']",grn,27.464922472687192
412,HCM1,STB1,,grn,
413,HCM1,SWI4,"['HCM1', 'SWI4']",grn,0.09341602665213301
414,HCM1,SWI5,,grn,
415,HCM1,SWI6,"['HCM1', 'SWI6']",grn,14.586330903403509
416,HCM1,TOS4,"['HCM1', 'YHP1', 'YOX1', 'TOS4']",grn,38.797860391426745
417,HCM1,WHI5,"['HCM1', 'WHI5']",grn,13.018882731760266
418,HCM1,YHP1,"['HCM1', 'YHP1']",grn,13.687647248283271
419,HCM1,YOX1,"['HCM1', 'YHP1', 'YOX1']",grn,23.642255608124604
420,MBP1,ACE2,,grn,
421,MBP1,CDC20,,grn,
422,MBP1,CDH1,,grn,
423,MBP1,CLB1,,grn,
424,MBP1,CLB2,,grn,
425,MBP1,CLB3,,grn,
426,MBP1,CLB4,"['MBP1', 'CLB4']",grn,7.8855817652083955
427,MBP1,CLB5,,grn,
428,MBP1,CLB6,"['MBP1', 'CLB6']",grn,7.162155559702036
429,MBP1,CLN1,"['MBP1', 'CLN1']",grn,
430,MBP1,CLN2,,grn,
431,MBP1,CLN3,,grn,
432,MBP1,FKH1,,grn,
433,MBP1,FKH2,,grn,
434,MBP1,HCM1,,grn,
435,MBP1,MBP1,,grn,
436,MBP1,MCM1,,grn,
437,MBP1,NDD1,,grn,
438,MBP1,NRM1,,grn,
439,MBP1,PLM2,"['MBP1', 'PLM2']",grn,
440,MBP1,STB1,,grn,
441,MBP1,SWI4,,grn,
442,MBP1,SWI5,,grn,
443,MBP1,SWI6,,grn,
444,MBP1,TOS4,,grn,
445,MBP1,WHI5,,grn,
446,MBP1,YHP1,,grn,
447,MBP1,YOX1,,grn,
448,MCM1,ACE2,,grn,
449,MCM1,CDC20,,grn,
450,MCM1,CDH1,,grn,
451,MCM1,CLB1,,grn,
452,MCM1,CLB2,,grn,
453,MCM1,CLB3,,grn,
454,MCM1,CLB4,,grn,
455,MCM1,CLB5,,grn,
456,MCM1,CLB6,,grn,
457,MCM1,CLN1,,grn,
458,MCM1,CLN2,,grn,
459,MCM1,CLN3,,grn,
460,MCM1,FKH1,,grn,
461,MCM1,FKH2,,grn,
462,MCM1,HCM1,,grn,
463,MCM1,MBP1,,grn,
464,MCM1,MCM1,,grn,
465,MCM1,NDD1,,grn,
466,MCM1,NRM1,,grn,
467,MCM1,PLM2,,grn,
