TF,Gene,R_squared_dogbox_init
NRM1,ACE2,0.49797452433949907
NRM1,CDC20,0.06209507727958785
NRM1,CDH1,0.8540820820624423
NRM1,CLB1,0.9568222078437895
NRM1,CLB2,0.5626674152914168
NRM1,CLB3,0.9954526784951901
NRM1,CLB4,0.6148452996740148
NRM1,CLB5,0.9613682321104611
NRM1,CLB6,0.97767088610501
NRM1,CLN1,0.47582326702119926
NRM1,CLN2,0.890884644356874
NRM1,CLN3,0.7707102828642477
NRM1,FKH1,0.7409609403175788
NRM1,FKH2,0.6371810509793512
NRM1,HCM1,0.9851333366527442
NRM1,MBP1,0.0680335663898739
NRM1,NDD1,0.9425349289216358
NRM1,PLM2,0.9788188300656826
NRM1,STB1,0.9781788624956096
NRM1,SWI4,0.6894500344096341
NRM1,SWI6,0.6585002561431963
NRM1,TOS4,0.996550145497744
NRM1,WHI5,0.649491964008995
NRM1,YHP1,0.9967690989226169
NRM1,YOX1,0.9863735347209723
STB1,CLB5,0.9982714164766453
STB1,CLB6,0.9064591205999847
STB1,CLN1,0.914770896519554
STB1,CLN2,0.7317914627893289
STB1,HCM1,0.9369666626364261
STB1,NRM1,0.980366098644727
STB1,PLM2,0.9980605871701239
STB1,SWI4,0.9624653311685674
STB1,TOS4,0.9983108316733548
STB1,WHI5,0.8022137069734377
STB1,YHP1,0.9419803962172169
STB1,YOX1,0.6813507379697579
SWI5,CDC20,0.9447525173950215
SWI5,CLB1,0.8221468658005066
SWI5,CLB2,0.669142933928006
SWI5,CLB3,0.2718854364714779
SWI5,CLB5,0.9681056709512899
SWI5,CLB6,0.9005177219813916
SWI5,CLN1,0.5497985583878069
SWI5,CLN2,0.9932567171500647
SWI5,CLN3,0.7671185470018301
SWI5,FKH1,0.7904564756031527
SWI5,FKH2,0.8404819801924944
SWI5,HCM1,0.2797177069533636
SWI5,MBP1,0.7355099399748232
SWI5,NDD1,0.4857132645260972
SWI5,NRM1,0.5838124921282745
SWI5,PLM2,0.6876848064700909
SWI5,STB1,0.7548333598080676
SWI5,SWI4,0.9960052618779226
SWI5,SWI6,0.41941788134854874
SWI5,TOS4,0.9577117426024766
SWI5,WHI5,0.0780117239182141
SWI5,YHP1,0.48696610705285137
SWI5,YOX1,0.27055275664255596
SWI6,ACE2,0.3297661223926065
SWI6,CLB1,0.8116902921721214
SWI6,CLB4,0.993648064832348
SWI6,CLB5,0.9863963329346808
SWI6,CLB6,0.9995465124970291
SWI6,CLN1,0.9665586682717976
SWI6,CLN2,0.9896051469986624
SWI6,CLN3,0.8816529978348981
SWI6,FKH1,0.9321813709414727
SWI6,HCM1,0.9708527055870625
SWI6,MCM1,0.8118720153334729
SWI6,NDD1,0.6236427656932524
SWI6,NRM1,0.9710451770953146
SWI6,PLM2,0.9953406426893585
SWI6,STB1,0.9570438316229857
SWI6,SWI4,0.960173980499915
SWI6,SWI5,0.6803481503887637
SWI6,TOS4,0.6188834878005915
SWI6,WHI5,0.4946350406046387
SWI6,YHP1,0.9326359294985197
SWI6,YOX1,0.999330746821576
WHI5,CLB1,0.9422498774905391
WHI5,CLB3,0.9834981555165498
WHI5,CLB4,0.9970538732771396
WHI5,CLB5,0.998316859414233
WHI5,CLB6,0.9962851440398883
WHI5,CLN1,0.9863136913441406
WHI5,CLN2,0.9818197965733203
WHI5,CLN3,0.9896354113983918
WHI5,FKH1,0.9591481418587406
WHI5,HCM1,0.9848163642562527
WHI5,NDD1,0.9453584450388636
WHI5,NRM1,0.9859830455823062
WHI5,PLM2,0.9949970001740956
WHI5,STB1,0.9975140775763504
WHI5,SWI4,0.9977400105683312
